Border,Date,Measure,Value,Average
US-Mexico Border,06/01/2019 12:00:00 AM,Personal Vehicle Passengers,11590003,14022944.0
US-Mexico Border,06/01/2019 12:00:00 AM,Personal Vehicles,6124800,6531744.0
US-Canada Border,06/01/2019 12:00:00 AM,Personal Vehicle Passengers,5407844,5504016.0
US-Mexico Border,06/01/2019 12:00:00 AM,Pedestrians,3931845,3699825.0
US-Canada Border,06/01/2019 12:00:00 AM,Personal Vehicles,2832881,2634870.0
US-Mexico Border,06/01/2019 12:00:00 AM,Trucks,533555,400216.0
US-Canada Border,06/01/2019 12:00:00 AM,Trucks,485867,509902.0
US-Mexico Border,06/01/2019 12:00:00 AM,Truck Containers Full,399640,254507.0
US-Canada Border,06/01/2019 12:00:00 AM,Truck Containers Full,366753,381710.0
US-Canada Border,06/01/2019 12:00:00 AM,Bus Passengers,202261,265616.0
US-Mexico Border,06/01/2019 12:00:00 AM,Bus Passengers,176567,243314.0
US-Canada Border,06/01/2019 12:00:00 AM,Rail Containers Full,153206,109534.0
US-Mexico Border,06/01/2019 12:00:00 AM,Truck Containers Empty,139565,141210.0
US-Canada Border,06/01/2019 12:00:00 AM,Truck Containers Empty,129434,88623.0
US-Canada Border,06/01/2019 12:00:00 AM,Pedestrians,66714,46443.0
US-Canada Border,06/01/2019 12:00:00 AM,Rail Containers Empty,62544,44388.0
US-Mexico Border,06/01/2019 12:00:00 AM,Rail Containers Empty,49346,31645.0
US-Mexico Border,06/01/2019 12:00:00 AM,Rail Containers Full,45091,28165.0
US-Canada Border,06/01/2019 12:00:00 AM,Train Passengers,44094,21184.0
US-Mexico Border,06/01/2019 12:00:00 AM,Buses,12979,19486.0
US-Canada Border,06/01/2019 12:00:00 AM,Buses,8975,11056.0
US-Canada Border,06/01/2019 12:00:00 AM,Trains,2162,2509.0
US-Mexico Border,06/01/2019 12:00:00 AM,Trains,964,729.0
US-Mexico Border,06/01/2019 12:00:00 AM,Train Passengers,851,1031.0
US-Mexico Border,05/01/2019 12:00:00 AM,Personal Vehicle Passengers,11161555,14033163.0
US-Mexico Border,05/01/2019 12:00:00 AM,Personal Vehicles,6087007,6533332.0
US-Canada Border,05/01/2019 12:00:00 AM,Personal Vehicle Passengers,4209007,5508641.0
US-Mexico Border,05/01/2019 12:00:00 AM,Pedestrians,4144485,3698237.0
US-Canada Border,05/01/2019 12:00:00 AM,Personal Vehicles,2301064,2636063.0
US-Mexico Border,05/01/2019 12:00:00 AM,Trucks,576724,399585.0
US-Canada Border,05/01/2019 12:00:00 AM,Trucks,507425,509911.0
US-Mexico Border,05/01/2019 12:00:00 AM,Truck Containers Full,435491,253861.0
US-Canada Border,05/01/2019 12:00:00 AM,Truck Containers Full,385497,381696.0
US-Canada Border,05/01/2019 12:00:00 AM,Bus Passengers,190178,265885.0
US-Mexico Border,05/01/2019 12:00:00 AM,Bus Passengers,172481,243567.0
US-Canada Border,05/01/2019 12:00:00 AM,Rail Containers Full,159963,109353.0
US-Mexico Border,05/01/2019 12:00:00 AM,Truck Containers Empty,147259,141189.0
US-Canada Border,05/01/2019 12:00:00 AM,Truck Containers Empty,133736,88462.0
US-Canada Border,05/01/2019 12:00:00 AM,Rail Containers Empty,61553,44327.0
US-Mexico Border,05/01/2019 12:00:00 AM,Rail Containers Empty,52634,31570.0
US-Canada Border,05/01/2019 12:00:00 AM,Pedestrians,50586,46428.0
US-Mexico Border,05/01/2019 12:00:00 AM,Rail Containers Full,44885,28105.0
US-Canada Border,05/01/2019 12:00:00 AM,Train Passengers,30038,21153.0
US-Mexico Border,05/01/2019 12:00:00 AM,Buses,12562,19511.0
US-Canada Border,05/01/2019 12:00:00 AM,Buses,8174,11067.0
US-Canada Border,05/01/2019 12:00:00 AM,Trains,2090,2511.0
US-Mexico Border,05/01/2019 12:00:00 AM,Trains,987,728.0
US-Mexico Border,05/01/2019 12:00:00 AM,Train Passengers,958,1031.0
US-Mexico Border,04/01/2019 12:00:00 AM,Personal Vehicle Passengers,10553135,14045636.0
US-Mexico Border,04/01/2019 12:00:00 AM,Personal Vehicles,5686170,6536369.0
US-Mexico Border,04/01/2019 12:00:00 AM,Pedestrians,4256803,3696235.0
US-Canada Border,04/01/2019 12:00:00 AM,Personal Vehicle Passengers,3760645,5514906.0
US-Canada Border,04/01/2019 12:00:00 AM,Personal Vehicles,2053135,2638152.0
US-Mexico Border,04/01/2019 12:00:00 AM,Trucks,524215,399139.0
US-Canada Border,04/01/2019 12:00:00 AM,Trucks,480477,510016.0
US-Mexico Border,04/01/2019 12:00:00 AM,Truck Containers Full,396298,253350.0
US-Canada Border,04/01/2019 12:00:00 AM,Truck Containers Full,369321,381741.0
US-Mexico Border,04/01/2019 12:00:00 AM,Bus Passengers,195416,243740.0
US-Canada Border,04/01/2019 12:00:00 AM,Rail Containers Full,157840,109180.0
US-Mexico Border,04/01/2019 12:00:00 AM,Truck Containers Empty,134214,141214.0
US-Canada Border,04/01/2019 12:00:00 AM,Truck Containers Empty,122028,88342.0
US-Canada Border,04/01/2019 12:00:00 AM,Bus Passengers,120438,266407.0
US-Canada Border,04/01/2019 12:00:00 AM,Rail Containers Empty,60767,44268.0
US-Mexico Border,04/01/2019 12:00:00 AM,Rail Containers Empty,50897,31501.0
US-Mexico Border,04/01/2019 12:00:00 AM,Rail Containers Full,42180,28055.0
US-Canada Border,04/01/2019 12:00:00 AM,Pedestrians,31204,46482.0
US-Canada Border,04/01/2019 12:00:00 AM,Train Passengers,13103,21181.0
US-Mexico Border,04/01/2019 12:00:00 AM,Buses,12822,19535.0
US-Canada Border,04/01/2019 12:00:00 AM,Buses,5050,11088.0
US-Canada Border,04/01/2019 12:00:00 AM,Trains,1968,2513.0
US-Mexico Border,04/01/2019 12:00:00 AM,Trains,934,727.0
US-Mexico Border,04/01/2019 12:00:00 AM,Train Passengers,857,1032.0
US-Mexico Border,03/01/2019 12:00:00 AM,Personal Vehicle Passengers,11867835,14053470.0
US-Mexico Border,03/01/2019 12:00:00 AM,Personal Vehicles,6377710,6536939.0
US-Mexico Border,03/01/2019 12:00:00 AM,Pedestrians,4228773,3694319.0
US-Canada Border,03/01/2019 12:00:00 AM,Personal Vehicle Passengers,3765337,5521200.0
US-Canada Border,03/01/2019 12:00:00 AM,Personal Vehicles,1993520,2640471.0
US-Mexico Border,03/01/2019 12:00:00 AM,Trucks,562555,398551.0
US-Canada Border,03/01/2019 12:00:00 AM,Trucks,488046,510095.0
US-Mexico Border,03/01/2019 12:00:00 AM,Truck Containers Full,414473,252771.0
US-Canada Border,03/01/2019 12:00:00 AM,Truck Containers Full,366698,381795.0
US-Mexico Border,03/01/2019 12:00:00 AM,Bus Passengers,177326,243979.0
US-Canada Border,03/01/2019 12:00:00 AM,Rail Containers Full,160144,108996.0
US-Mexico Border,03/01/2019 12:00:00 AM,Truck Containers Empty,155368,141163.0
US-Canada Border,03/01/2019 12:00:00 AM,Truck Containers Empty,132252,88184.0
US-Canada Border,03/01/2019 12:00:00 AM,Bus Passengers,89326,267044.0
US-Canada Border,03/01/2019 12:00:00 AM,Rail Containers Empty,64969,44193.0
US-Mexico Border,03/01/2019 12:00:00 AM,Rail Containers Empty,45238,31451.0
US-Mexico Border,03/01/2019 12:00:00 AM,Rail Containers Full,44869,27994.0
US-Canada Border,03/01/2019 12:00:00 AM,Pedestrians,18500,46583.0
US-Canada Border,03/01/2019 12:00:00 AM,Train Passengers,13314,21210.0
US-Mexico Border,03/01/2019 12:00:00 AM,Buses,13095,19558.0
US-Canada Border,03/01/2019 12:00:00 AM,Buses,4419,11112.0
US-Canada Border,03/01/2019 12:00:00 AM,Trains,1945,2515.0
US-Mexico Border,03/01/2019 12:00:00 AM,Trains,991,726.0
US-Mexico Border,03/01/2019 12:00:00 AM,Train Passengers,858,1032.0
US-Mexico Border,02/01/2019 12:00:00 AM,Personal Vehicle Passengers,10295407,14067037.0
US-Mexico Border,02/01/2019 12:00:00 AM,Personal Vehicles,5656319,6540118.0
US-Mexico Border,02/01/2019 12:00:00 AM,Pedestrians,3416106,3695324.0
US-Canada Border,02/01/2019 12:00:00 AM,Personal Vehicle Passengers,2777212,5531106.0
US-Canada Border,02/01/2019 12:00:00 AM,Personal Vehicles,1534560,2644463.0
US-Mexico Border,02/01/2019 12:00:00 AM,Trucks,512524,398139.0
US-Canada Border,02/01/2019 12:00:00 AM,Trucks,429813,510385.0
US-Mexico Border,02/01/2019 12:00:00 AM,Truck Containers Full,375688,252327.0
US-Canada Border,02/01/2019 12:00:00 AM,Truck Containers Full,323630,382005.0
US-Mexico Border,02/01/2019 12:00:00 AM,Truck Containers Empty,142612,141158.0
US-Mexico Border,02/01/2019 12:00:00 AM,Bus Passengers,125669,244406.0
US-Canada Border,02/01/2019 12:00:00 AM,Rail Containers Full,123643,108943.0
US-Canada Border,02/01/2019 12:00:00 AM,Truck Containers Empty,115624,88085.0
US-Canada Border,02/01/2019 12:00:00 AM,Bus Passengers,75740,267734.0
US-Mexico Border,02/01/2019 12:00:00 AM,Rail Containers Empty,46374,31398.0
US-Canada Border,02/01/2019 12:00:00 AM,Rail Containers Empty,44492,44192.0
US-Mexico Border,02/01/2019 12:00:00 AM,Rail Containers Full,37029,27962.0
US-Canada Border,02/01/2019 12:00:00 AM,Pedestrians,12009,46708.0
US-Mexico Border,02/01/2019 12:00:00 AM,Buses,11467,19587.0
US-Canada Border,02/01/2019 12:00:00 AM,Train Passengers,9277,21253.0
US-Canada Border,02/01/2019 12:00:00 AM,Buses,3770,11139.0
US-Canada Border,02/01/2019 12:00:00 AM,Trains,1607,2518.0
US-Mexico Border,02/01/2019 12:00:00 AM,Trains,931,725.0
US-Mexico Border,02/01/2019 12:00:00 AM,Train Passengers,816,1033.0
US-Mexico Border,01/01/2019 12:00:00 AM,Personal Vehicle Passengers,11860567,14075031.0
US-Mexico Border,01/01/2019 12:00:00 AM,Personal Vehicles,6301772,6540982.0
US-Mexico Border,01/01/2019 12:00:00 AM,Pedestrians,3894421,3694602.0
US-Canada Border,01/01/2019 12:00:00 AM,Personal Vehicle Passengers,2928980,5540534.0
US-Canada Border,01/01/2019 12:00:00 AM,Personal Vehicles,1645776,2648082.0
US-Mexico Border,01/01/2019 12:00:00 AM,Trucks,544903,397608.0
US-Canada Border,01/01/2019 12:00:00 AM,Trucks,467770,510539.0
US-Mexico Border,01/01/2019 12:00:00 AM,Truck Containers Full,395495,251808.0
US-Canada Border,01/01/2019 12:00:00 AM,Truck Containers Full,354429,382105.0
US-Mexico Border,01/01/2019 12:00:00 AM,Bus Passengers,195869,244582.0
US-Mexico Border,01/01/2019 12:00:00 AM,Truck Containers Empty,155782,141105.0
US-Canada Border,01/01/2019 12:00:00 AM,Rail Containers Full,155660,108774.0
US-Canada Border,01/01/2019 12:00:00 AM,Truck Containers Empty,124042,87955.0
US-Canada Border,01/01/2019 12:00:00 AM,Bus Passengers,74112,268436.0
US-Canada Border,01/01/2019 12:00:00 AM,Rail Containers Empty,57862,44143.0
US-Mexico Border,01/01/2019 12:00:00 AM,Rail Containers Empty,50411,31329.0
US-Mexico Border,01/01/2019 12:00:00 AM,Rail Containers Full,32440,27945.0
US-Canada Border,01/01/2019 12:00:00 AM,Pedestrians,14412,46825.0
US-Mexico Border,01/01/2019 12:00:00 AM,Buses,13137,19610.0
US-Canada Border,01/01/2019 12:00:00 AM,Train Passengers,12902,21283.0
US-Canada Border,01/01/2019 12:00:00 AM,Buses,3903,11165.0
US-Canada Border,01/01/2019 12:00:00 AM,Trains,2033,2520.0
US-Mexico Border,01/01/2019 12:00:00 AM,Trains,994,724.0
US-Mexico Border,01/01/2019 12:00:00 AM,Train Passengers,847,1034.0
US-Mexico Border,12/01/2018 12:00:00 AM,Personal Vehicle Passengers,12388647,14081164.0
US-Mexico Border,12/01/2018 12:00:00 AM,Personal Vehicles,6327597,6541758.0
US-Mexico Border,12/01/2018 12:00:00 AM,Pedestrians,4319416,3692330.0
US-Canada Border,12/01/2018 12:00:00 AM,Personal Vehicle Passengers,3878052,5546579.0
US-Canada Border,12/01/2018 12:00:00 AM,Personal Vehicles,2005044,2650420.0
US-Mexico Border,12/01/2018 12:00:00 AM,Trucks,469397,397347.0
US-Canada Border,12/01/2018 12:00:00 AM,Trucks,410534,510903.0
US-Mexico Border,12/01/2018 12:00:00 AM,Truck Containers Full,321593,251554.0
US-Canada Border,12/01/2018 12:00:00 AM,Truck Containers Full,277418,382485.0
US-Canada Border,12/01/2018 12:00:00 AM,Rail Containers Full,174518,108535.0
US-Mexico Border,12/01/2018 12:00:00 AM,Bus Passengers,163284,244877.0
US-Mexico Border,12/01/2018 12:00:00 AM,Truck Containers Empty,147782,141080.0
US-Canada Border,12/01/2018 12:00:00 AM,Truck Containers Empty,136378,87779.0
US-Canada Border,12/01/2018 12:00:00 AM,Bus Passengers,90296,269084.0
US-Canada Border,12/01/2018 12:00:00 AM,Rail Containers Empty,58295,44091.0
US-Mexico Border,12/01/2018 12:00:00 AM,Rail Containers Empty,52383,31252.0
US-Mexico Border,12/01/2018 12:00:00 AM,Rail Containers Full,40776,27899.0
US-Canada Border,12/01/2018 12:00:00 AM,Pedestrians,20703,46920.0
US-Mexico Border,12/01/2018 12:00:00 AM,Buses,14129,19630.0
US-Canada Border,12/01/2018 12:00:00 AM,Train Passengers,12838,21314.0
US-Canada Border,12/01/2018 12:00:00 AM,Buses,4082,11191.0
US-Canada Border,12/01/2018 12:00:00 AM,Trains,1996,2521.0
US-Mexico Border,12/01/2018 12:00:00 AM,Trains,970,724.0
US-Mexico Border,12/01/2018 12:00:00 AM,Train Passengers,870,1034.0
US-Mexico Border,11/01/2018 12:00:00 AM,Personal Vehicle Passengers,11389748,14090986.0
US-Mexico Border,11/01/2018 12:00:00 AM,Personal Vehicles,6083730,6543430.0
US-Mexico Border,11/01/2018 12:00:00 AM,Pedestrians,3959951,3691354.0
US-Canada Border,11/01/2018 12:00:00 AM,Personal Vehicle Passengers,3523204,5553964.0
US-Canada Border,11/01/2018 12:00:00 AM,Personal Vehicles,1933646,2653036.0
US-Mexico Border,11/01/2018 12:00:00 AM,Trucks,535417,396843.0
US-Canada Border,11/01/2018 12:00:00 AM,Trucks,476793,511027.0
US-Mexico Border,11/01/2018 12:00:00 AM,Truck Containers Full,390148,251048.0
US-Canada Border,11/01/2018 12:00:00 AM,Truck Containers Full,358925,382571.0
US-Canada Border,11/01/2018 12:00:00 AM,Rail Containers Full,163324,108335.0
US-Mexico Border,11/01/2018 12:00:00 AM,Truck Containers Empty,150973,141044.0
US-Mexico Border,11/01/2018 12:00:00 AM,Bus Passengers,150920,245220.0
US-Canada Border,11/01/2018 12:00:00 AM,Truck Containers Empty,127697,87633.0
US-Canada Border,11/01/2018 12:00:00 AM,Bus Passengers,105606,269680.0
US-Canada Border,11/01/2018 12:00:00 AM,Rail Containers Empty,59112,44036.0
US-Mexico Border,11/01/2018 12:00:00 AM,Rail Containers Empty,54868,31166.0
US-Mexico Border,11/01/2018 12:00:00 AM,Rail Containers Full,41616,27849.0
US-Canada Border,11/01/2018 12:00:00 AM,Pedestrians,21290,47013.0
US-Mexico Border,11/01/2018 12:00:00 AM,Buses,13325,19653.0
US-Canada Border,11/01/2018 12:00:00 AM,Train Passengers,11720,21349.0
US-Canada Border,11/01/2018 12:00:00 AM,Buses,4777,11214.0
US-Canada Border,11/01/2018 12:00:00 AM,Trains,1979,2523.0
US-Mexico Border,11/01/2018 12:00:00 AM,Train Passengers,1017,1034.0
US-Mexico Border,11/01/2018 12:00:00 AM,Trains,970,723.0
US-Mexico Border,10/01/2018 12:00:00 AM,Personal Vehicle Passengers,12004167,14098630.0
US-Mexico Border,10/01/2018 12:00:00 AM,Personal Vehicles,6556519,6543382.0
US-Canada Border,10/01/2018 12:00:00 AM,Personal Vehicle Passengers,4042146,5559501.0
US-Mexico Border,10/01/2018 12:00:00 AM,Pedestrians,3896888,3690601.0
US-Canada Border,10/01/2018 12:00:00 AM,Personal Vehicles,2240151,2654548.0
US-Mexico Border,10/01/2018 12:00:00 AM,Trucks,568252,396215.0
US-Canada Border,10/01/2018 12:00:00 AM,Trucks,527247,510968.0
US-Mexico Border,10/01/2018 12:00:00 AM,Truck Containers Full,415527,250446.0
US-Canada Border,10/01/2018 12:00:00 AM,Truck Containers Full,398340,382513.0
US-Canada Border,10/01/2018 12:00:00 AM,Rail Containers Full,167849,108117.0
US-Mexico Border,10/01/2018 12:00:00 AM,Truck Containers Empty,159369,140977.0
US-Canada Border,10/01/2018 12:00:00 AM,Bus Passengers,158773,270087.0
US-Canada Border,10/01/2018 12:00:00 AM,Truck Containers Empty,139572,87443.0
US-Mexico Border,10/01/2018 12:00:00 AM,Bus Passengers,138689,245610.0
US-Canada Border,10/01/2018 12:00:00 AM,Rail Containers Empty,63252,43966.0
US-Mexico Border,10/01/2018 12:00:00 AM,Rail Containers Empty,55089,31078.0
US-Canada Border,10/01/2018 12:00:00 AM,Pedestrians,51076,46998.0
US-Mexico Border,10/01/2018 12:00:00 AM,Rail Containers Full,45601,27784.0
US-Canada Border,10/01/2018 12:00:00 AM,Train Passengers,16617,21366.0
US-Mexico Border,10/01/2018 12:00:00 AM,Buses,14214,19673.0
US-Canada Border,10/01/2018 12:00:00 AM,Buses,6359,11232.0
US-Canada Border,10/01/2018 12:00:00 AM,Trains,2059,2525.0
US-Mexico Border,10/01/2018 12:00:00 AM,Trains,999,722.0
US-Mexico Border,10/01/2018 12:00:00 AM,Train Passengers,943,1035.0
US-Mexico Border,09/01/2018 12:00:00 AM,Personal Vehicle Passengers,11822961,14106997.0
US-Mexico Border,09/01/2018 12:00:00 AM,Personal Vehicles,6319271,6544206.0
US-Canada Border,09/01/2018 12:00:00 AM,Personal Vehicle Passengers,4376264,5563852.0
US-Mexico Border,09/01/2018 12:00:00 AM,Pedestrians,3524531,3691211.0
US-Canada Border,09/01/2018 12:00:00 AM,Personal Vehicles,2339723,2655706.0
US-Mexico Border,09/01/2018 12:00:00 AM,Trucks,494057,395855.0
US-Canada Border,09/01/2018 12:00:00 AM,Trucks,477492,511091.0
US-Mexico Border,09/01/2018 12:00:00 AM,Truck Containers Full,361864,250036.0
US-Canada Border,09/01/2018 12:00:00 AM,Truck Containers Full,360290,382595.0
US-Canada Border,09/01/2018 12:00:00 AM,Bus Passengers,179957,270418.0
US-Mexico Border,09/01/2018 12:00:00 AM,Bus Passengers,160813,245922.0
US-Canada Border,09/01/2018 12:00:00 AM,Rail Containers Full,154683,107946.0
US-Mexico Border,09/01/2018 12:00:00 AM,Truck Containers Empty,141079,140977.0
US-Canada Border,09/01/2018 12:00:00 AM,Truck Containers Empty,126940,87297.0
US-Canada Border,09/01/2018 12:00:00 AM,Rail Containers Empty,63582,43894.0
US-Canada Border,09/01/2018 12:00:00 AM,Pedestrians,54019,46973.0
US-Mexico Border,09/01/2018 12:00:00 AM,Rail Containers Empty,50037,31009.0
US-Mexico Border,09/01/2018 12:00:00 AM,Rail Containers Full,43621,27725.0
US-Canada Border,09/01/2018 12:00:00 AM,Train Passengers,29355,21337.0
US-Mexico Border,09/01/2018 12:00:00 AM,Buses,13468,19696.0
US-Canada Border,09/01/2018 12:00:00 AM,Buses,7896,11244.0
US-Canada Border,09/01/2018 12:00:00 AM,Trains,1970,2527.0
US-Mexico Border,09/01/2018 12:00:00 AM,Trains,933,721.0
US-Mexico Border,09/01/2018 12:00:00 AM,Train Passengers,874,1035.0
US-Mexico Border,08/01/2018 12:00:00 AM,Personal Vehicle Passengers,12338175,14113524.0
US-Mexico Border,08/01/2018 12:00:00 AM,Personal Vehicles,6554844,6544166.0
US-Canada Border,08/01/2018 12:00:00 AM,Personal Vehicle Passengers,6367333,5560887.0
US-Mexico Border,08/01/2018 12:00:00 AM,Pedestrians,3851303,3690620.0
US-Canada Border,08/01/2018 12:00:00 AM,Personal Vehicles,2999558,2654437.0
US-Mexico Border,08/01/2018 12:00:00 AM,Trucks,552741,395276.0
US-Canada Border,08/01/2018 12:00:00 AM,Trucks,508622,511100.0
US-Mexico Border,08/01/2018 12:00:00 AM,Truck Containers Full,401582,249477.0
US-Canada Border,08/01/2018 12:00:00 AM,Truck Containers Full,377595,382614.0
US-Canada Border,08/01/2018 12:00:00 AM,Bus Passengers,239821,270531.0
US-Mexico Border,08/01/2018 12:00:00 AM,Bus Passengers,218838,246022.0
US-Mexico Border,08/01/2018 12:00:00 AM,Truck Containers Empty,159349,140909.0
US-Canada Border,08/01/2018 12:00:00 AM,Rail Containers Full,148925,107795.0
US-Canada Border,08/01/2018 12:00:00 AM,Truck Containers Empty,141581,87097.0
US-Canada Border,08/01/2018 12:00:00 AM,Pedestrians,83530,46838.0
US-Canada Border,08/01/2018 12:00:00 AM,Rail Containers Empty,60159,43834.0
US-Canada Border,08/01/2018 12:00:00 AM,Train Passengers,55602,21210.0
US-Mexico Border,08/01/2018 12:00:00 AM,Rail Containers Empty,42889,30965.0
US-Mexico Border,08/01/2018 12:00:00 AM,Rail Containers Full,40034,27680.0
US-Mexico Border,08/01/2018 12:00:00 AM,Buses,14961,19713.0
US-Canada Border,08/01/2018 12:00:00 AM,Buses,9222,11252.0
US-Canada Border,08/01/2018 12:00:00 AM,Trains,2099,2529.0
US-Mexico Border,08/01/2018 12:00:00 AM,Trains,928,720.0
US-Mexico Border,08/01/2018 12:00:00 AM,Train Passengers,909,1036.0
US-Mexico Border,07/01/2018 12:00:00 AM,Personal Vehicle Passengers,12700131,14118759.0
US-Mexico Border,07/01/2018 12:00:00 AM,Personal Vehicles,6476572,6544417.0
US-Canada Border,07/01/2018 12:00:00 AM,Personal Vehicle Passengers,6118700,5558821.0
US-Mexico Border,07/01/2018 12:00:00 AM,Pedestrians,3916503,3689784.0
US-Canada Border,07/01/2018 12:00:00 AM,Personal Vehicles,2902555,2653518.0
US-Mexico Border,07/01/2018 12:00:00 AM,Trucks,514241,394836.0
US-Canada Border,07/01/2018 12:00:00 AM,Trucks,482545,511206.0
US-Mexico Border,07/01/2018 12:00:00 AM,Truck Containers Full,370512,249029.0
US-Canada Border,07/01/2018 12:00:00 AM,Truck Containers Full,362798,382687.0
US-Mexico Border,07/01/2018 12:00:00 AM,Bus Passengers,256556,245983.0
US-Canada Border,07/01/2018 12:00:00 AM,Bus Passengers,223674,270704.0
US-Mexico Border,07/01/2018 12:00:00 AM,Truck Containers Empty,151194,140871.0
US-Canada Border,07/01/2018 12:00:00 AM,Rail Containers Full,144717,107658.0
US-Canada Border,07/01/2018 12:00:00 AM,Truck Containers Empty,129790,86939.0
US-Canada Border,07/01/2018 12:00:00 AM,Pedestrians,80348,46714.0
US-Canada Border,07/01/2018 12:00:00 AM,Rail Containers Empty,60140,43773.0
US-Mexico Border,07/01/2018 12:00:00 AM,Rail Containers Empty,48206,30901.0
US-Canada Border,07/01/2018 12:00:00 AM,Train Passengers,48139,21110.0
US-Mexico Border,07/01/2018 12:00:00 AM,Rail Containers Full,40489,27633.0
US-Mexico Border,07/01/2018 12:00:00 AM,Buses,15680,19728.0
US-Canada Border,07/01/2018 12:00:00 AM,Buses,9385,11259.0
US-Canada Border,07/01/2018 12:00:00 AM,Trains,1985,2531.0
US-Mexico Border,07/01/2018 12:00:00 AM,Trains,950,719.0
US-Mexico Border,07/01/2018 12:00:00 AM,Train Passengers,875,1036.0
US-Mexico Border,06/01/2018 12:00:00 AM,Personal Vehicle Passengers,11901838,14127000.0
US-Mexico Border,06/01/2018 12:00:00 AM,Personal Vehicles,6365057,6545083.0
US-Canada Border,06/01/2018 12:00:00 AM,Personal Vehicle Passengers,4905379,5561250.0
US-Mexico Border,06/01/2018 12:00:00 AM,Pedestrians,3558082,3690273.0
US-Canada Border,06/01/2018 12:00:00 AM,Personal Vehicles,2561045,2653862.0
US-Mexico Border,06/01/2018 12:00:00 AM,Trucks,529177,394336.0
US-Canada Border,06/01/2018 12:00:00 AM,Trucks,498422,511254.0
US-Mexico Border,06/01/2018 12:00:00 AM,Truck Containers Full,387382,248515.0
US-Canada Border,06/01/2018 12:00:00 AM,Truck Containers Full,364267,382755.0
US-Canada Border,06/01/2018 12:00:00 AM,Bus Passengers,211997,270923.0
US-Canada Border,06/01/2018 12:00:00 AM,Rail Containers Full,147832,107509.0
US-Canada Border,06/01/2018 12:00:00 AM,Truck Containers Empty,144777,86724.0
US-Mexico Border,06/01/2018 12:00:00 AM,Truck Containers Empty,139354,140876.0
US-Mexico Border,06/01/2018 12:00:00 AM,Bus Passengers,98510,246531.0
US-Canada Border,06/01/2018 12:00:00 AM,Rail Containers Empty,64970,43695.0
US-Canada Border,06/01/2018 12:00:00 AM,Pedestrians,62091,46656.0
US-Mexico Border,06/01/2018 12:00:00 AM,Rail Containers Empty,50368,30829.0
US-Mexico Border,06/01/2018 12:00:00 AM,Rail Containers Full,44312,27571.0
US-Canada Border,06/01/2018 12:00:00 AM,Train Passengers,43571,21027.0
US-Mexico Border,06/01/2018 12:00:00 AM,Buses,14249,19749.0
US-Canada Border,06/01/2018 12:00:00 AM,Buses,9287,11266.0
US-Canada Border,06/01/2018 12:00:00 AM,Trains,1981,2533.0
US-Mexico Border,06/01/2018 12:00:00 AM,Trains,964,718.0
US-Mexico Border,06/01/2018 12:00:00 AM,Train Passengers,897,1037.0
US-Mexico Border,05/01/2018 12:00:00 AM,Personal Vehicle Passengers,12425460,14133349.0
US-Mexico Border,05/01/2018 12:00:00 AM,Personal Vehicles,6723434,6544418.0
US-Canada Border,05/01/2018 12:00:00 AM,Personal Vehicle Passengers,4365709,5565711.0
US-Mexico Border,05/01/2018 12:00:00 AM,Pedestrians,3850841,3689674.0
US-Canada Border,05/01/2018 12:00:00 AM,Personal Vehicles,2378868,2654888.0
US-Mexico Border,05/01/2018 12:00:00 AM,Trucks,561452,393713.0
US-Canada Border,05/01/2018 12:00:00 AM,Trucks,524191,511205.0
US-Mexico Border,05/01/2018 12:00:00 AM,Truck Containers Full,408438,247918.0
US-Canada Border,05/01/2018 12:00:00 AM,Truck Containers Full,393302,382716.0
US-Canada Border,05/01/2018 12:00:00 AM,Bus Passengers,197790,271196.0
US-Canada Border,05/01/2018 12:00:00 AM,Rail Containers Full,152582,107341.0
US-Mexico Border,05/01/2018 12:00:00 AM,Truck Containers Empty,150480,140841.0
US-Canada Border,05/01/2018 12:00:00 AM,Truck Containers Empty,142900,86514.0
US-Mexico Border,05/01/2018 12:00:00 AM,Bus Passengers,108419,247047.0
US-Canada Border,05/01/2018 12:00:00 AM,Rail Containers Empty,70644,43594.0
US-Mexico Border,05/01/2018 12:00:00 AM,Rail Containers Empty,53567,30744.0
US-Canada Border,05/01/2018 12:00:00 AM,Pedestrians,44519,46664.0
US-Mexico Border,05/01/2018 12:00:00 AM,Rail Containers Full,41851,27517.0
US-Canada Border,05/01/2018 12:00:00 AM,Train Passengers,26599,21006.0
US-Mexico Border,05/01/2018 12:00:00 AM,Buses,13097,19774.0
US-Canada Border,05/01/2018 12:00:00 AM,Buses,8291,11277.0
US-Canada Border,05/01/2018 12:00:00 AM,Trains,2094,2534.0
US-Mexico Border,05/01/2018 12:00:00 AM,Trains,948,718.0
US-Mexico Border,05/01/2018 12:00:00 AM,Train Passengers,891,1038.0
US-Mexico Border,04/01/2018 12:00:00 AM,Personal Vehicle Passengers,12200002,14140590.0
US-Mexico Border,04/01/2018 12:00:00 AM,Personal Vehicles,6505841,6544562.0
US-Mexico Border,04/01/2018 12:00:00 AM,Pedestrians,3860744,3689034.0
US-Canada Border,04/01/2018 12:00:00 AM,Personal Vehicle Passengers,3672087,5572803.0
US-Canada Border,04/01/2018 12:00:00 AM,Personal Vehicles,2013265,2657291.0
US-Mexico Border,04/01/2018 12:00:00 AM,Trucks,542965,393154.0
US-Canada Border,04/01/2018 12:00:00 AM,Trucks,501741,511241.0
